goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8477831,Pheonix Copley,167,18.0302,20,-1.9698,-0.4932,0.9254,2025-12-15 10:13:14.910556
8477967,Thatcher Demko,734,50.4721,50,0.4721,0.2808,0.9254,2025-12-15 10:13:14.910556
8477967,Thatcher Demko,2745,252.9445,185,67.9445,57.4754,0.9254,2025-12-15 10:13:14.910556
8477968,Alex Nedeljkovic,247,16.6834,16,0.6834,0.226,0.9254,2025-12-15 10:13:14.910556
8477968,,20,1.3776,0,1.3776,0.053,0.9254,2025-12-15 10:13:14.910556
8477968,Alex Nedeljkovic,2923,255.7138,241,14.7138,12.5645,0.9254,2025-12-15 10:13:14.910556
8477970,Vitek Vanecek,670,47.4156,52,-4.5844,-2.6253,0.9254,2025-12-15 10:13:14.910556
8477970,Vitek Vanecek,1711,154.7744,152,2.7744,2.147,0.9254,2025-12-15 10:13:14.910556
8477992,Jonas Johansson,701,47.7217,40,7.7217,4.507,0.9254,2025-12-15 10:13:14.910556
8477992,,15,0.6133,2,-1.3867,-0.0404,0.9254,2025-12-15 10:13:14.910556
8477992,Jonas Johansson,1999,185.1732,180,5.1732,4.1382,0.9254,2025-12-15 10:13:14.910556
8478007,Elvis Merzlikins,939,63.9058,60,3.9058,2.5487,0.9254,2025-12-15 10:13:14.910556
8478007,,15,1.7824,2,-0.2176,-0.0063,0.9254,2025-12-15 10:13:14.910556
8478007,Elvis Merzlikins,3708,344.6277,327,17.6277,15.5332,0.9254,2025-12-15 10:13:14.910556
8478009,Ilya Sorokin,1296,84.6362,79,5.6362,4.0671,0.9254,2025-12-15 10:13:14.910556
8478009,,5,1.0033,0,1.0033,0.0099,0.9254,2025-12-15 10:13:14.910556
8478009,Ilya Sorokin,5467,523.4813,407,116.4813,106.7209,0.9254,2025-12-15 10:13:14.910556
8478024,Ville Husso,826,59.1161,63,-3.8839,-2.4194,0.9254,2025-12-15 10:13:14.910556
8478024,Ville Husso,1638,144.5326,139,5.5326,4.2387,0.9254,2025-12-15 10:13:14.910556
8478039,Kaapo Kahkonen,603,43.5841,37,6.5841,3.5995,0.9254,2025-12-15 10:13:14.910556
8478039,Kaapo Kahkonen,1352,122.9983,125,-2.0017,-1.4613,0.9254,2025-12-15 10:13:14.910556
