player_id,situation,on_ice_xgf,on_ice_xga,shots_for_count,shots_against_count
8478406,5v5,0.3556522913277149,0.8902326114475727,7,10
8478406,PK,0.0,0.24505077861249447,0,5
8478407,5v5,0.36401326581835747,0.07414910197257996,4,2
8478420,5v5,0.46053514815866947,0.28044986724853516,7,3
8478420,PK,0.11840511858463287,0.24505077861249447,2,5
8478421,5v5,0.9980745575430228,0.6250360015245879,14,8
8478421,PK,0.29862377898349934,0.20584611993295412,3,2
8478421,PP,0.014414505164169481,0.0,1,0
8478427,5v5,0.8671183567494154,0.5781144178472459,10,5
8478434,5v5,0.19541751220822334,0.0,2,0
8478438,5v5,0.3256054886203947,0.5435515909209172,4,9
8478438,PK,0.0,0.13499907779781897,0,2
8478443,5v5,0.6383311916142702,0.27490001218393445,6,6
8478445,5v5,0.29285657964646816,0.23394185304641724,2,1
8478445,PK,0.0003524911589920521,0.0,1,0
8478450,5v5,1.1522697749984876,1.1712885923900462,16,21
8478450,PK,0.0,0.13499907779781897,0,2
8478452,5v5,0.8724910692083924,0.38507088835880604,11,7
8478458,5v5,1.1973612960428,0.6981211989186704,12,6
8478458,PK,0.0,0.04898812994360924,0,1
8478460,5v5,0.23394185304641724,0.2605841998010874,1,3
8478460,PK,0.22622010111808777,0.0,1,0
8478460,PP,0.0,0.12336621433496475,0,1
8478462,5v5,0.05103325843811035,0.0,1,0
8478463,5v5,0.34442922845482826,0.0,3,0
8478472,5v5,0.023995598778128624,0.333748497068882,1,4
8478472,PK,0.0,0.1622491329908371,0,1
8478474,5v5,0.0638071559369564,0.3836932722479105,2,5
8478474,PK,0.0033138105645775795,0.0,1,0
8478483,5v5,0.13541879504919052,0.3346143364906311,5,3
8478493,5v5,0.08116264641284943,0.0,1,0
8478493,PK,0.050686875358223915,0.0,2,0
8478499,5v5,0.796077186241746,0.778482795227319,10,9
8478499,PK,0.1622491329908371,0.0174864511936903,1,1
8478500,5v5,0.7214120682328939,0.5054467618465424,4,2
8478500,PK,0.31534984707832336,0.0,2,0
8478500,PP,0.0,0.12336621433496475,0,1
8478507,5v5,0.0,0.03514113277196884,0,1
8478508,5v5,0.0,0.09624679386615753,0,1
8478508,PK,0.19436390325427055,0.0,3,0
8478519,5v5,0.3346143364906311,0.0936275590211153,3,3
8478519,PK,0.5195480585098267,0.0,1,0
8478542,5v5,0.6864168074638197,0.1608450295932867,13,6
8478542,PK,0.29862377898349934,0.0,3,0
8478550,5v5,0.5693677346922746,1.269643597798467,10,17
8478550,PK,0.13499907779781897,0.0,2,0
8478569,5v5,1.431624204201795,0.8776054034691175,19,18
8478569,PK,0.0,0.13499907779781897,0,2
8478569,PP,0.0012379360850900412,0.0,1,0
8478831,5v5,0.017368396744132042,0.0,1,0
8478840,5v5,1.2821712572028343,1.2451086969135179,19,15
8478840,PK,0.13499907779781897,0.0,2,0
8478854,5v5,2.051198589729164,1.3694954590381156,27,22
8478854,PK,0.0,0.13499907779781897,0,2
8478859,5v5,1.4825485772524185,0.8560705392468239,19,16
8478859,PK,0.41575297266699646,0.20584611993295412,5,2
8478859,PP,0.014414505164169481,0.0,1,0
8478882,5v5,0.08522467193887537,0.28815987018471795,3,3
8478916,5v5,0.0,0.9980501756072044,0,12
8478916,PK,0.07517112046480179,0.10500285774469376,1,3
8478916,PP,0.0,0.07939120382070541,0,1
8478970,5v5,0.8827661983668804,0.6553059830330312,9,6
8478970,PK,0.0,0.04898812994360924,0,1
8478971,5v5,0.02706373855471611,0.4886111537634861,2,10
8478971,PK,0.0033138105645775795,0.0,1,0
8479293,5v5,0.4360458739101887,0.07414910197257996,4,2
8479293,PK,0.07517112046480179,0.08851547166705132,1,2
8479316,5v5,0.8625143805457045,1.4346822613777517,12,16
8479316,PK,0.5011939667165279,0.42187858789522126,3,6
8479316,PP,0.2362634549541704,0.0,2,0
8479318,5v5,0.16434980276972055,0.24487507343292236,5,2
8479323,5v5,0.9253258850843177,0.6154277014861658,16,8
8479323,PK,0.18579158951203942,0.0,3,0
8479336,5v5,0.3124594991095364,0.19785950146615505,6,3
8479343,5v5,0.0,0.03514113277196884,0,1
8479353,5v5,0.45220696926116943,0.0019089248962700367,4,1
8479353,PK,0.0,0.0174864511936903,0,1
8479359,5v5,0.2524975575506687,0.06990684568881989,2,1
8479359,PK,0.08851547166705132,0.07517112046480179,2,1
8479359,PP,0.07939120382070541,0.0,1,0
8479361,5v5,0.18624033778905869,0.8471193835139275,5,8
8479361,PK,0.0,1.096525378525257,0,4
8479369,5v5,0.767340000718832,0.0,6,0
8479369,PK,0.19650245644152164,0.5011939667165279,3,3
8479371,5v5,0.5380546506494284,0.5054467618465424,3,2
8479371,PK,0.31534984707832336,0.0,2,0
8479371,PP,0.0,0.12336621433496475,0,1
8479372,5v5,0.5872055478394032,0.0,5,0
8479378,5v5,0.4163696351170074,0.1280311457812786,7,5
8479378,PK,0.0,0.0033138105645775795,0,1
8479385,5v5,0.03875679150223732,0.23518558777868748,2,6
8479385,PK,0.0,0.1622491329908371,0,1
8479387,5v5,0.3556522913277149,0.5993731655180454,7,5
8479390,5v5,0.8618256842131509,0.48872518282630595,12,7
8479390,PK,0.13499907779781897,0.0,2,0
8479398,5v5,0.5969722930581375,0.31174954475024796,12,7
8479398,PK,0.20535868607404473,0.4128795056032874,4,4
8479420,5v5,0.1313079558312893,0.06865213811397552,4,1
8479420,PK,0.10500285774469376,0.07517112046480179,3,1
8479421,5v5,0.27769707748666406,0.16277877241373062,2,4
8479496,5v5,0.0,0.5664624199271202,0,8
8479496,PP,0.0,0.0012379360850900412,0,1
8479525,5v5,0.651609281522765,0.7547614968693634,13,13
8479525,PK,0.2220339322629772,0.0,3,0
8479542,PK,0.9771968275308609,0.0,3,0
8479591,5v5,0.0,0.07271642237901688,0,1
8479638,5v5,2.0835821300339172,0.7438103862772314,22,15
8479638,PK,0.0,0.13499907779781897,0,2
8479661,5v5,0.27769707748666406,0.16277877241373062,2,4
8479671,5v5,0.23394185304641724,0.0877379272133112,1,2
8479671,PK,0.31534984707832336,0.0,2,0
8479671,PP,0.0,0.12336621433496475,0,1
8479675,5v5,0.5608511931779758,0.3803880807751881,12,7
8479675,PK,0.0,0.24335712659069428,0,4
8479941,5v5,0.25969422422349453,0.3180421516299248,2,3
8479941,PK,0.0,0.0003524911589920521,0,1
8479944,5v5,0.0,0.5054467618465424,0,2
8479944,PK,0.31534984707832336,0.0,2,0
8479944,PP,0.0,0.12336621433496475,0,1
8479968,5v5,1.456201482564211,0.1350156357511878,11,4
8479968,PK,0.19650245644152164,0.0,3,0
8479976,5v5,0.0452754981815815,0.046283163130283356,1,1
8479976,PK,0.0033138105645775795,0.0,1,0
8479980,5v5,0.3474929891526699,0.02590452367439866,6,2
8479980,PK,0.1622491329908371,0.0174864511936903,1,1
8479981,5v5,0.5815027833328117,0.5796398847890698,9,6
8479981,PK,0.29862377898349934,0.20584611993295412,3,2
8479981,PP,0.014414505164169481,0.0,1,0
8479982,5v5,0.20794525370001793,0.3892679587006569,5,4
8479983,5v5,0.13024652283638716,0.9043694864958525,3,9
