our_game_id,our_player_id,our_shot_x,our_shot_y,our_distance,our_angle,our_xg,our_is_goal,our_is_rebound,our_is_slot_shot,our_has_pass,mp_shotID,mp_game_id,mp_xCord,mp_yCord,mp_shotDistance,mp_shotAngle,mp_xGoal,mp_goal,mp_shotRebound,mp_shotRush,mp_lastEventCategory,match_distance,xg_difference,xg_ratio
2025020206,8477940,58.0,34.0,46.01086828130936,47.642545294064725,0.0949999988079071,False,False,0,False,17370,20206,58,34,46.0108682813,47.6425452941,0.00328355,0,0,0,FAC,0.0,0.09171644880790711,28.93210056429995
2025020206,8477940,44.0,26.0,51.97114584074513,30.018367427609085,0.0924473330378532,True,False,0,False,17372,20206,44,26,51.9711458407,30.0183674276,0.34691,1,0,0,FAC,0.0,-0.2544626669621468,0.26648794510925944
2025020206,8477940,59.0,-9.0,31.32091952673165,16.69924423399362,0.0949999988079071,False,False,0,False,17373,20206,59,-9,31.3209195267,-16.699244234,0.0112716,0,0,0,FAC,0.0,0.08372839880790711,8.428262075296063
2025020206,8475842,45.0,-6.0,44.40720662234904,7.765166018425333,0.0949999988079071,False,False,0,False,17374,20206,45,-6,44.4072066223,-7.76516601843,0.0408274,0,0,0,SHOT,0.0,0.054172598807907105,2.3268686913177694
2025020206,8477940,44.0,37.0,58.25804665451803,39.42780219603621,0.0643838793039321,False,False,0,False,17375,20206,44,37,58.2580466545,39.427802196,0.00254366,0,0,0,SHOT,0.0,0.061840219303932104,25.31151148499882
2025020206,8477940,35.0,27.0,60.37383539249432,26.56505117707799,0.0517635531723499,False,False,0,False,17376,20206,35,27,60.3738353925,26.5650511771,0.00247095,0,0,0,FAC,0.0,0.0492926031723499,20.9488468695643
2025020206,8484203,57.0,23.0,39.408120990476064,35.706691400602885,0.0949999988079071,False,False,0,False,17377,20206,57,23,39.4081209905,35.7066914006,0.009493,0,0,0,GIVE,0.0,0.0855069988079071,10.007373728843053
2025020206,8475791,84.0,-7.0,8.602325267042627,54.46232220802562,0.0949999988079071,False,False,0,False,17378,20206,84,-7,8.60232526704,-54.462322208,0.0165895,0,0,0,BLOCK,0.0,0.0784104988079071,5.726513686844516
2025020206,8473533,62.0,18.0,32.449961479175904,33.690067525979785,0.0949999988079071,False,False,0,False,17380,20206,62,18,32.4499614792,33.690067526,0.0506252,0,0,0,FAC,0.0,0.0443747988079071,1.876535772854371
2025020206,8476422,88.0,-5.0,5.0990195135927845,78.69006752597979,0.0949999988079071,False,False,0,False,17381,20206,88,-5,5.09901951359,-78.690067526,0.044099,0,0,0,HIT,0.0,0.050900998807907105,2.1542438333728
2025020206,8482702,78.0,0.0,11.0,0.0,0.0949999988079071,False,False,0,False,17382,20206,78,0,11.0,0.0,0.247326,0,0,0,BLOCK,0.0,-0.15232600119209289,0.38410841887996855
2025020206,8475791,76.0,5.0,13.92838827718412,21.037511025421814,0.0949999988079071,False,False,0,False,17383,20206,76,5,13.9283882772,21.0375110254,0.0891401,0,0,0,SHOT,0.0,0.005859898807907105,1.065738077564498
2025020207,8481617,75.0,13.0,19.1049731745428,42.87890360333855,0.0949999988079071,True,False,0,False,17437,20207,75,13,19.1049731745,42.8789036033,0.103781,1,0,0,TAKE,0.0,-0.008781001192092894,0.9153891252532458
2025020207,8478013,48.0,-7.0,41.593268686170845,9.688786560366802,0.0949999988079071,False,False,0,False,17438,20207,48,-7,41.5932686862,-9.68878656037,0.034607,0,0,0,FAC,0.0,0.060392998807907106,2.745109336489933
2025020207,8478013,42.0,10.0,48.05205510693585,12.01147838636544,0.0949999988079071,False,False,0,False,17439,20207,42,10,48.0520551069,12.0114783864,0.0278007,0,0,0,MISS,0.0,0.0671992988079071,3.4171801000660813
2025020207,8476967,39.0,24.0,55.46169849544819,25.641005824305285,0.0949999988079071,False,False,0,True,17440,20207,39,24,55.4616984954,25.6410058243,0.0258865,0,0,0,FAC,0.0,0.0691134988079071,3.669866486697974
